title,authors,source_title,publication_year,volume,issue,part_number,supplement,beginning_Page,ending_page,doi
Impulse Buying: Design Practices and Consumer Needs,"Moser, Carol; Schoenebeck, Sarita Yardi; Resnick, Paul",CHI 2019: PROCEEDINGS OF THE 2019 CHI CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS,2019,,,,,,,10.1145/3290605.3300472
Some Prior(s) Experience Necessary Templates for Getting Started with Bayesian Analysis,"Phelan, Chanda; Hullman, Jessica; Kay, Matthew; Resnick, Paul",CHI 2019: PROCEEDINGS OF THE 2019 CHI CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS,2019,,,,,,,10.1145/3290605.3300709
"A Spaced, Interleaved Retrieval Practice Tool that is Motivating and Effective","YeckehZaare, Iman; Resnick, Paul; Ericson, Barbara",ICER '19 - PROCEEDINGS OF THE 2019 ACM CONFERENCE ON INTERNATIONAL COMPUTING EDUCATION RESEARCH,2019,,,,,71,79,10.1145/3291279.3339411
Community Commerce: Facilitating Trust in Mom-to-Mom Sale Groups on Facebook,"Moser, Carol; Resnick, Paul; Schoenebeck, Sarita Yardi",PROCEEDINGS OF THE 2017 ACM SIGCHI CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS (CHI'17),2017,,,,,4344,4357,10.1145/3025453.3025550
No Such Thing as Too Much Chocolate: Evidence Against Choice Overload in E-Commerce,"Moser, Carol; Phelan, Chanda; Resnick, Paul; Schoenebeck, Sarita Yardi; Reinecke, Katharina",PROCEEDINGS OF THE 2017 ACM SIGCHI CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS (CHI'17),2017,,,,,4358,4369,10.1145/3025453.3025778
Recommender Systems-Beyond Matrix Completion,"Jannach, Dietmar; Resnick, Paul; Tuzhilin, Alexander; Zanker, Markus",COMMUNICATIONS OF THE ACM,2016,59,11,,,94,102,10.1145/2891406
"It's Creepy, But It Doesn't Bother Me","Phelan, Chanda; Lampe, Cliff; Resnick, Paul","34TH ANNUAL CHI CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS, CHI 2016",2016,,,,,5240,5251,10.1145/2858036.2858381
Multiple Queries as Bandit Arms,"Li, Cheng; Resnick, Paul; Mei, Qiaozhu",CIKM'16: PROCEEDINGS OF THE 2016 ACM CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT,2016,,,,,1089,1098,10.1145/2983323.2983816
Enquiring Minds: Early Detection of Rumors in Social Media from Enquiry Posts,"Zhao, Zhe; Resnick, Paul; Mei, Qiaozhu",PROCEEDINGS OF THE 24TH INTERNATIONAL CONFERENCE ON WORLD WIDE WEB (WWW 2015),2015,,,,,1395,1405,10.1145/2736277.2741637
Hypothetical Outcome Plots Outperform Error Bars and Violin Plots for Inferences about Reliability of Variable Ordering,"Hullman, Jessica; Resnick, Paul; Adar, Eytan",PLOS ONE,2015,10,11,,,,,10.1371/journal.pone.0142444
Effects of Public Commitments and Accountability in a Technology-Supported Physical Activity Intervention,"Munson, Sean A.; Krupka, Erin; Richardson, Caroline; Resnick, Paul",CHI 2015: PROCEEDINGS OF THE 33RD ANNUAL CHI CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS,2015,,,,,1135,1144,10.1145/2702123.2702524
What Social Media Data We Are Missing and How to Get It,"Resnick, Paul; Adar, Eytan; Lampe, Cliff",ANNALS OF THE AMERICAN ACADEMY OF POLITICAL AND SOCIAL SCIENCE,2015,659,1,,,192,206,10.1177/0002716215570006
ReQ-ReC: High Recall Retrieval with Query Pooling and Interactive Classification,"Li, Cheng; Wang, Yue; Resnick, Paul; Mei, Qiaozhu",SIGIR'14: PROCEEDINGS OF THE 37TH INTERNATIONAL ACM SIGIR CONFERENCE ON RESEARCH AND DEVELOPMENT IN INFORMATION RETRIEVAL,2014,,,,,163,172,10.1145/2600428.2609618
HOW DO I FIND AND WORK PRODUCTIVELY WITH A COMPUTER SCIENTIST? A PANEL DISCUSSION ON WORKING ACROSS THE DISCIPLINARY DIVIDE FOR DEVELOPING BEHAVIOR CHANGE TECHNOLOGIES,"Hekler, Eric B.; Richardson, Caroline; Klasnja, Pedja; Resnick, Paul; Wright, Julie",ANNALS OF BEHAVIORAL MEDICINE,2013,45,,,2,S161,S161,
Building Successful Online Communities: Evidence-Based Social Design,"Kraut, RE; Resnick, Paul",BUILDING SUCCESSFUL ONLINE COMMUNITIES: EVIDENCE-BASED SOCIAL DESIGN,2011,,,,,1,309,
Encouraging Contribution to Online Communities,"Kraut, Robert E.; Resnick, Paul",BUILDING SUCCESSFUL ONLINE COMMUNITIES: EVIDENCE-BASED SOCIAL DESIGN,2011,,,,,21,76,
Resisting Political Fragmentation on the Internet,"Garrett, R. Kelly; Resnick, Paul",DAEDALUS,2011,140,4,,,108,120,10.1162/DAED_a_00118
Encouraging Commitment in Online Communities,"Ren, Yuqing; Kraut, Robert E.; Kiesler, Sara; Resnick, Paul",BUILDING SUCCESSFUL ONLINE COMMUNITIES: EVIDENCE-BASED SOCIAL DESIGN,2011,,,,,77,124,
Regulating Behavior in Online Communities,"Kiesler, Sara; Kraut, Robert E.; Resnick, Paul; Kittur, Aniket",BUILDING SUCCESSFUL ONLINE COMMUNITIES: EVIDENCE-BASED SOCIAL DESIGN,2011,,,,,125,177,
The Challenges of Dealing with Newcomers,"Kraut, Robert E.; Burke, Moira; Riedl, John; Resnick, Paul",BUILDING SUCCESSFUL ONLINE COMMUNITIES: EVIDENCE-BASED SOCIAL DESIGN,2011,,,,,179,230,
Starting New Online Communities,"Resnick, Paul; Konstan, Joseph; Chen, Yan; Kraut, Robert E.",BUILDING SUCCESSFUL ONLINE COMMUNITIES: EVIDENCE-BASED SOCIAL DESIGN,2011,,,,,231,280,
Building Successful Online Communities Evidence-Based Social Design Introduction,"Resnick, Paul; Kraut, Robert E.",BUILDING SUCCESSFUL ONLINE COMMUNITIES: EVIDENCE-BASED SOCIAL DESIGN,2011,,,,,1,19,
Presenting Diverse Political Opinions: How and How Much,"Munson, Sean A.; Resnick, Paul","CHI2010: PROCEEDINGS OF THE 28TH ANNUAL CHI CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS, VOLS 1-4",2010,,,,,1457,1466,
EDUCATIONAL PRIORITIES FOR TECHNOLOGY-MEDIATED SOCIAL PARTICIPATION,"Lampe, Cliff; Resnick, Paul; Forte, Andrea; Yardi, Sarita; Rotman, Dana; Marshall, Todd; Lutters, Wayne",COMPUTER,2010,43,11,,,60,67,10.1109/MC.2010.316
I Scratched Yours: The Prevalence of Reciprocation in Feedback Provision on eBay,"Jian, Lian; MacKie-Mason, Jeffrey K.; Resnick, Paul",B E JOURNAL OF ECONOMIC ANALYSIS & POLICY,2010,10,1,,,,,
Sybilproof Transitive Trust Protocols,"Resnick, Paul; Sami, Rahul",10TH ACM CONFERENCE ON ELECTRONIC COMMERCE - EC 2009,2009,,,,,345,354,
The Information Cost of Manipulation-Resistance in Recommender Systems,"Resnick, Paul; Sami, Rahul",RECSYS'08: PROCEEDINGS OF THE 2008 ACM CONFERENCE ON RECOMMENDER SYSTEMS,2008,,,,,147,154,
Three Recommender Approaches to Interface Controls Reduction,"Oostendorp, Nathan; Resnick, Paul",RECSYS'08: PROCEEDINGS OF THE 2008 ACM CONFERENCE ON RECOMMENDER SYSTEMS,2008,,,,,235,242,
Follow the Reader: Filtering Comments on Slashdot,"Lampe, Cliff; Johnston, Erik; Resnick, Paul","CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS, VOLS 1 AND 2",2007,,,,,1253,1262,
The Influence Limiter: Provably Manipulation-Resistant Recommender Systems,"Resnick, Paul; Sami, Rahul",RECSYS 07: PROCEEDINGS OF THE 2007 ACM CONFERENCE ON RECOMMENDER SYSTEMS,2007,,,,,25,32,
The value of reputation on eBay: A controlled experiment,"Resnick, Paul; Zeckhauser, Richard; Swanson, John; Lockwood, Kate",EXPERIMENTAL ECONOMICS,2006,9,2,,,79,101,10.1007/s10683-006-4309-2
Eliciting informative feedback: The peer-prediction method,"Miller, N; Resnick, Paul; Zeckhauser, R",MANAGEMENT SCIENCE,2005,51,9,,,1359,1373,10.1287/mnsc.1050.0379
Using social psychology to motivate contributions to online communities,"Ling, K; Beenen, G; Ludford, P; Wang, XQ; Chang, K; Li, X; Cosley, D; Frankowski, D; Terveen, L; Rashid, AM; Resnick, Paul; Kraut, R",JOURNAL OF COMPUTER-MEDIATED COMMUNICATION,2005,10,4,,,,,
The social cost of cheap pseudonyms,"Friedman, EJ; Resnick, Paul",JOURNAL OF ECONOMICS & MANAGEMENT STRATEGY,2001,10,2,,,173,199,10.1162/105864001300122476
Reputation systems,"Resnick, Paul; Zeckhauser, R; Friedman, E; Kuwabara, K",COMMUNICATIONS OF THE ACM,2000,43,12,,,45,48,10.1145/355112.355122
The market for evaluations,"Avery, C; Resnick, Paul; Zeckhauser, R",AMERICAN ECONOMIC REVIEW,1999,89,3,,,564,584,10.1257/aer.89.3.564
Zoning speech on the Internet: A legal and technical model,"Lessig, L; Resnick, Paul",MICHIGAN LAW REVIEW,1999,98,2,,,395,431,10.2307/1290343
Recommender systems,"Resnick, Paul; Varian, HR",COMMUNICATIONS OF THE ACM,1997,40,3,,,56,58,10.1145/245108.245121
REFEREE: trust management for Web applications,"Chu, YH; Feigenbaum, J; LaMacchia, B; Resnick, Paul; Strauss, M",COMPUTER NETWORKS AND ISDN SYSTEMS,1997,29,8-13,,,953,964,10.1016/S0169-7552(97)00009-3
Managing trust in an information-labeling system,"Blaze, M; Feigenbaum, J; Resnick, Paul; Strauss, M",EUROPEAN TRANSACTIONS ON TELECOMMUNICATIONS,1997,8,5,,,491,501,10.1002/ett.4460080507
Filtering information on the Internet,"Resnick, Paul",SCIENTIFIC AMERICAN,1997,276,3,,,62,64,10.1038/scientificamerican0397-62
PICS: Internet access controls without censorship,"Resnick, Paul; Miller, J",COMMUNICATIONS OF THE ACM,1996,39,10,,,87,93,10.1145/236156.236175