Movie Name,Director,Year,Jump Count,Jump Scare Rating,Netflix (US)
[Rec],"Jaume Balagueró, Paco Plaza",2007,11,3.5,No
A Cure for Wellness,Gore Verbinski,2016,6,1.5,No
A Dark Song,Liam Gavin,2016,5,2.0,No
A Ghost Story,David Lowery,2017,3,1.0,No
A Girl Walks Home Alone at Night,Ana Lily Amirpour,2014,0,0.0,No
A Nightmare on Elm Street,Wes Craven,1984,11,2.5,No
A Nightmare on Elm Street,Samuel Bayer,2010,15,3.0,No
A Nightmare on Elm Street 2: Freddy’s Revenge,Jack Sholder,1985,8,2.0,No
A Nightmare on Elm Street 3: Dream Warriors,Chuck Russell,1987,11,2.5,No
A Nightmare on Elm Street 4: The Dream Master,Renny Harlin,1988,6,1.5,No
A Nightmare on Elm Street 5: The Dream Child,Stephen Hopkins,1989,10,2.5,No
A Quiet Place,John Krasinski,2018,14,4.0,No
A Quiet Place Part II,John Krasinski,2020,15,4.0,No
A Tale of Two Sisters,Jee-woon Kim,2003,14,3.0,No
Abrakadabra,"Luciano Onetti, Nicolás Onetti",2018,0,0.0,No
Absentia,Mike Flanagan,2011,8,2.0,No
After Midnight,"Jeremy Gardner, Christian Stella",2019,6,2.5,No
Aftermath,Peter Winther,2021,5,2.5,Yes
Alien,Ridley Scott,1979,11,2.5,No
Alien 3,David Fincher,1992,14,2.5,No
Alien: Covenant,Ridley Scott,2017,6,2.0,No
Alien: Resurrection,Jean-Pierre Jeunet,1997,9,3.0,No
Aliens,James Cameron,1986,13,3.0,No
All Hallows’ Eve ,Damien Leone,2013,13,3.0,No
Alone,"Banjong Pisanthanakun, Parkpoom Wongpoom",2007,21,4.5,No
Alone,John Hyams,2020,0,1.5,No
Altered States,Ken Russell,1980,2,0.5,No
Amityville: The Awakening,Franck Khalfoun,2017,11,3.0,No
Amnesiac,Michael Polish,2015,1,0.5,No
Amulet,Romola Garai,2020,3,1.5,No
An American Werewolf in London,John Landis,1981,14,3.0,No
An American Werewolf in Paris,Anthony Waller,1997,11,2.5,No
Anaconda,Luis Llosa,1997,9,2.0,No
Anacondas: The Hunt for Blood Orchid,Dwight H. Little,2004,7,3.0,No
Anna,Jorge Dorado,2013,5,1.0,No
Anna and the Apocalypse,John McPhail,2017,6,2.5,No
Annabelle,John R. Leonetti,2014,11,3.5,No
Annabelle Comes Home,Gary Dauberman,2019,20,4.0,No
Annabelle: Creation,David F. Sandberg,2017,23,4.5,No
Annihilation,Alex Garland,2018,4,1.5,Yes
Antebellum,"Gerard Bush, Christopher Renz",2020,2,0.5,No
Antlers,Scott Cooper,2021,4,1.0,No
Antrum: The Deadliest Film Ever Made.,"David Amito, Michael Laicini",2018,0,0.0,No
Anything For Jackson,Justin G. Dyck,2020,7,3.0,No
Apollo 18,Gonzalo López-Gallego,2011,10,3.0,No
Apostle,Gareth Evans,2018,5,1.5,Yes
Aquaslash,Renaud Gauthier,2019,0,0.0,No
Area 51,Oren Peli,2015,4,1.0,No
Army of Darkness – Director’s Cut,Sam Raimi,1992,8,2.0,No
Army of Darkness – Theatrical Cut,Sam Raimi,1992,9,2.0,No
Arrival,Denis Villeneuve,2016,3,0.5,No
"As Above, So Below",John Erick Dowdle,2014,7,3.0,Yes
Attack the Block,Joe Cornish,2011,12,3.0,No
Audition,Takashi Miike,1999,1,0.5,No
Backcountry,Adam MacDonald,2014,4,0.5,Yes
Backtrack,Michael Petroni,2015,14,3.5,No
Banshee Chapter,Blair Erickson,2013,22,5.0,No
Basket Case,Frank Henenlotter,1982,4,2.5,No
Baskin,Can Evrenol,2015,2,0.5,No
Beauty and the Beast,Juraj Herz,1978,2,0.5,No
Before I Wake,Mike Flanagan,2016,9,3.0,Yes
Behind You, Andrew Mecham,2020,8,2.5,No
Below,David Twohy,2002,11,3.0,No
Benny Loves You,Karl Holt,2019,5,2.0,No
Berberian Sound Studio,Peter Strickland,2012,0,0.0,No
Berlin Syndrome,Cate Shortland,2017,1,0.5,No
Better Watch Out,Chris Peckover,2016,11,2.5,No
Bird Box,Susanne Bier,2018,4,0.5,Yes
Black Christmas,Bob Clark,1974,4,1.5,No
Black Christmas,Sophia Takal,2019,8,2.5,No
Black Friday,Casey Tebo,2021,6,2.0,No
Black Sheep,Jonathan King,2006,3,1.5,No
Black Swan,Darren Aronofsky,2010,10,3.0,No
Black Wake,Jeremiah Kipp,2018,2,0.5,No
Black Water,"David Nerlich, Andrew Traucki",2007,6,1.5,No
Black Water: Abyss,Andrew Traucki,2020,9,2.5,No
Blade,Stephen Norrington,1998,1,1.0,No
Blair Witch,Adam Wingard,2016,18,4.0,No
Blood Vessel,Justin Dix,2019,3,1.0,No
Boar,Chris Sun,2017,6,2.0,No
Body at Brighton Rock, Roxanne Benjamin,2019,12,3.5,No
Body Double,Brian De Palma,1984,7,1.0,No
Bone Tomahawk,S. Craig Zahler,2015,0,0.0,No
Book of Shadows: Blair Witch 2,Joe Berlinger,2000,5,1.0,No
Born of Fire,Jamil Dehlavi,1987,4,1.0,No
Boys in the Trees,Nicholas Verso,2016,3,1.0,No
Brahms: The Boy II,William Brent Bell,2020,11,3.0,No
Brain Damage,Frank Henenlotter,1988,0,0.0,No
Bram Stoker’s Dracula,Francis Ford Coppola,1992,2,0.5,No
Bride of Chucky,Ronny Yu,1998,11,2.0,No
Bride of Re-Animator,Brian Yuzna,1990,1,0.0,No
Brightburn,David Yarovesky,2019,20,3.5,No
Bubba Ho-Tep,Don Cascarelli,2002,9,0.5,No
"Butcher, Baker, Nightmare Maker / Night Warning",William Asher,1981,7,2.0,No
Butterfly Kisses,Erik Kristopher Myers,2018,2,1.0,No
C.H.U.D.,Douglas Cheek,1984,1,0.5,No
Cabin Fever,Travis Zariwny,2016,14,3.5,No
Cabin Fever,Eli Roth,2002,10,2.5,No
Calvaire (The Ordeal),Fabrice Du Welz,2004,2,0.5,No
Cam,Daniel Goldhaber,2018,1,0.5,Yes
Camp Twilight,Brandon Amelotte,2020,3,1.0,No
Candyman,Nia DaCosta,2021,3,0.5,No
Candyman,Bernard Rose,1992,16,4.0,No
Cannibal Holocaust,Ruggero Deodato,1980,0,0.0,No
Cape Fear,Martin Scorsese,1991,4,1.5,No
Cargo,"Ben Howling, Yolanda Ramke",2017,2,0.5,Yes
Carnival of Souls,Herk Harvey,1962,1,0.5,No
Carrie,Brian De Palma,1976,1,0.5,No
Carrie,Kimberly Peirce,2013,4,1.0,No
Case 39,Christian Alvart,2009,10,2.0,No
Cat People,Jacques Tourneur,1942,2,1.0,No
Caveat,Damian McCarthy,2021,9,2.5,No
Cell,Tod Williams,2016,5,2.0,No
Cemetery Man,Michele Soavi,1994,0,0.0,No
Censor,Prano Bailey-Bond,2021,3,1.0,No
Chained,Jennifer Chambers Lynch,2012,0,0.0,No
Chernobyl Diaries,Bradley Parker,2012,16,3.5,Yes
Cherry Tree,David Keating,2015,5,1.5,No
Child Eater,Erlingur Óttar Thoroddsen,2016,8,2.0,No
Child’s Play,Tom Holland,1988,8,2.5,No
Child’s Play,Lars Klevberg,2019,16,3.0,No
Children of Sorrow,Jourdan McClure,2012,2,0.5,No
Children of the Corn,Fritz Kiersch,1984,8,3.0,No
Chopping Mall,Jim Wynorski,1986,5,1.0,No
Cloverfield,Matt Reeves,2008,7,2.0,No
Clown,Jon Watts,2014,11,3.0,No
Coherence,James War Byrkit,2013,1,0.5,No
Cold Creek Manor,Mike Figgis,2003,2,0.5,No
Cold Skin,Xavier Gens,2017,4,2.0,No
Color Out of Space,Richard Stanley,2019,4,1.0,No
Come Play,Jacob Chase,2020,15,4.5,No
Coming Soon,Sophon Sakdaphisit,2008,11,3.0,No
Communion,Philippe Mora,1989,7,1.0,No
Cooties,"Jonathan Milott, Cary Murnion",2014,15,3.0,No
Countdown,Justin Dec,2019,17,4.0,No
Creep,Patrick Kack-Brice,2014,10,3.0,Yes
Creep,Christopher Smith,2004,9,3.0,No
Creep 2,Patrick Brice,2017,6,2.0,Yes
Creepshow,George A. Romero,1982,0,1.0,No
Creepshow 2,Michael Gornick,1987,3,1.5,No
Crimes of the Future,David Cronenberg ,2022,6,1.0,No
Crimson Peak,Guillermo del Toro,2015,9,2.5,No
Cruel Peter,Christian Bisceglia,2019,7,3.5,Yes
Cry Wolf,Jeff Wadlow,2005,11,1.5,No
Cube,Vincenzo Natali,1997,1,0.5,No
Cube 2: Hypercube,Andrzej Sekula,2002,2,0.5,No
Cube Zero,Ernie Barbarash,2004,1,0.5,No
Cujo,Lewis Teague,1983,4,1.0,No
Cult of Chucky,Don Mancini,2017,14,3.5,Yes
Cyberbully,Ben Chanan,2015,1,1.0,No
Daniel Isn’t Real,Adam Egypt Mortimer,2020,6,1.5,No
Dark Encounter,Carl Strathie,2019,2,0.5,No
Dark Shadows,Tim Burton,2012,2,0.5,No
Dark Skies,Scott Stewart,2013,11,2.5,No
Dark Was The Night,Jack Heller,2014,16,3.0,No
Dark Water,Walter Salles,2005,7,2.0,No
Dark Waters,Mariano Baino,1993,2,0.5,No
Darkness Falls,Jonathan Liebesman,2003,19,4.0,No
Dawn of the Dead,Zack Snyder,2004,10,2.0,No
Day of the Dead,George A. Romero,1985,10,3.0,No
Dead Alive (Braindead),Peter Jackson,1992,3,1.0,No
Dead Calm,Phillip Noyce,1989,2,1.0,No
Dead End,"Jean-Baptiste Andrea, Fabrice Canepa",2003,9,2.5,No
Dead Shack,Peter Ricq,2017,3,2.0,No
Dead Silence,James Wan,2007,15,4.0,No
Dead Snow,Tommy Wirkola,2009,9,3.5,No
Deadware,Isaac Rodriguez,2022,6,2.5,No
Death Becomes Her,Robert Zemeckis,1992,0,0.0,No
Death Note,Adam Wingard,2017,6,1.5,Yes
Death of a Vlogger,Graham Hughes,2019,14,4.0,No
Deathgasm,Jason Lei Howden,2015,7,2.0,No
Deep Blue Sea,Renny Harlin,1999,10,2.5,No
Deep Dark,Michael Medaglia,2015,2,1.0,No
Deep Red,Dario Argento,1975,7,1.5,No
Deliver Us From Evil,Scott Derrickson,2014,16,4.0,No
Dementer,Chad Crawford Kinkle,2019,1,0.5,No
Dementia,Mike Testin,2015,0,0.0,No
Demonic,Will Canon,2015,17,4.0,Yes
Depraved,Larry Fessenden,2019,6,3.0,No
Devil,John Erick Dowdle,2010,4,1.5,No
Devil in the Dark,Tim Brown,2017,2,0.5,No
Devil’s Due,"Matt Bettinelli-Olpin, Tyler Gillett",2014,13,3.0,No
Devil’s Pass,Renny Harlin,2013,10,2.5,No
Digging Up the Marrow,Adam Green,2014,5,2.5,No
Dismissed,Benjamin Arfmann,2017,0,0.0,No
Disturbia,D.J. Caruso,2007,13,3.0,No
Doctor Sleep,Mike Flanagan,2019,8,2.0,No
Doctor Strange in the Multiverse of Madness,Sam Raimi,2022,12,3.0,No
Dog Soldiers,Neil Marshall,2002,13,3.0,No
Donnie Darko,Richard Kelly,2001,3,1.0,No
Don’t Be Afraid of the Dark,Troy Nixey,2010,8,3.0,No
Don’t Breathe,Fede Alvarez,2016,17,3.5,No
Don’t Breathe 2,Rodo Sayagues,2021,7,2.0,No
Don’t Hang Up,"Damien Macé, Alexis Wajsbrot",2016,4,4.0,No
Don’t Knock Twice,Caradog W. James,2016,19,3.5,No
Don’t Listen  (Voces),Ángel Goméz Hernández,2020,27,4.5,Yes
Don’t Look Now,Nicolas Roeg,1973,1,0.5,No
Doom,Andrzej Bartkowiak,2005,15,3.5,Yes
Dracula Untold,Gary Shore,2014,4,1.0,No
Drag Me To Hell,Sam Raimi,2009,23,4.5,No
Dream House,Jim Sheridan,2011,3,0.5,No
Dreamcatcher,Lawrence Kasdan,2003,16,3.0,No
Dreamkatcher,Kerry Harris,2020,4,1.5,No
Dressed to Kill,Brian De Palma,1980,5,2.0,No
Eden Lake,James Watkins,2008,3,1.0,No
Edward Scissorhands,Tim Burton,1990,0,0.0,No
Eli,Ciarán Foy,2019,13,3.5,Yes
Elle,Paul Verhoeven,2016,7,2.0,No
Emelie,Michael Thelin,2015,3,0.5,Yes
Enter the Void,Gaspar Noé,2009,3,2.0,No
Eraserhead,David Lynch,1977,2,0.5,No
Errementari: The Blacksmith and the Devil,Paul Urkijo Alijo,2017,1,0.5,Yes
Escape from Tomorrow,Randy Moore,2013,3,0.5,No
Escape Room,Adam Robitel,2019,4,1.5,No
Escape Room: Tournament of Champions,Adam Robitel,2021,3,1.0,No
Europa Report,Sebastián Cordero,2013,1,0.5,No
Event Horizon,Paul W.S. Anderson,1997,11,3.0,No
Evil Dead,Fede Alvarez,2013,20,4.0,No
Evil Dead 2,Sam Raimi,1987,27,4.0,No
Exorcist: The Beginning,Renny Harlin,2004,17,4.0,No
Extinction,Miguel Ángel Vivas,2015,12,3.0,No
Extraterrestrial,Colin Minihan,2014,30,4.5,No
Extremity,Anthony DiBlasi,2018,5,2.5,No
Eyes Without a Face,Georges Franju,1960,1,0.5,No
False Positive,John Lee,2021,2,2.0,Yes
Fantasy Island ,Jeff Wadlow ,2020,13,2.5,No
Fatal Attraction,Adrian Lyne,1987,7,2.0,No
Fear Clinic,Robert Hall,2014,13,3.0,No
Fear of Rain,Castille Landon,2021,1,0.5,No
Fear Street Part One: 1994,Leigh Janiak,2021,12,2.5,Yes
Fear Street Part Three: 1666,Leigh Janiak,2021,5,1.0,Yes
Fear Street Part Two: 1978,Leigh Janiak,2021,15,3.0,Yes
FearDotCom,William Malone,2002,5,1.0,No
Final Destination,James Wong,2000,4,2.0,Yes
Final Destination 2,David R. Ellis,2003,3,1.0,Yes
Final Destination 3,James Wong,2006,5,1.0,Yes
Final Destination 5,Steven Quale,2011,5,1.5,No
Flatliners,Niels Arden Oplev,2017,20,4.0,No
Flatliners,Joel Schumacher,1990,7,2.0,Yes
Forbidden Siren,Yukihiko Tsutsumi,2006,5,1.0,No
Forgotten (Gi-eok-ui bam),Hang-jun Jang,2017,3,1.0,Yes
Four Hands,Oliver Kienle,2017,1,0.5,No
Frailty,Bill Paxton,2001,0,0.0,No
Frankenstein’s Army,Richard Raaphorst,2013,5,2.0,No
Freaky,Christopher Landon,2020,9,2.0,No
Freddy vs. Jason,Ronny Yu,2003,24,4.0,No
Freddy’s Dead: The Final Nightmare,Rachel Talalay,1991,5,1.0,No
Friday the 13th,Sean S. Cunningham,1980,10,3.0,No
Friday the 13th,Marcus Nispel,2009,23,4.0,No
Friday the 13th Part 2,Steve Miner,1981,12,3.0,No
Friday the 13th Part III,Steve Miner,1982,7,1.5,No
Friday the 13th Part IV: The Final Chapter,Joseph Zito,1984,7,1.5,No
Friday the 13th Part V: A New Beginning,Danny Steinmann,1985,7,1.0,No
Friday the 13th Part VII: The New Blood,John Carl Buechler,1988,4,1.0,No
Friday the 13th Part VIII: Jason Takes Manhattan,Rob Hedden,1989,4,0.0,No
Friend Request,Simon Verhoeven,2016,21,4.0,Yes
Fright Night,Tom Holland,1985,3,1.0,No
Fright Night,Craig Gillespie,2011,10,3.0,No
From Beyond,Stuart Gordon,1983,5,1.5,No
Frozen,Adam Green,2010,1,0.5,No
Funny Games,Michael Haneke,1997,1,0.5,No
Funny Games,Michael Haneke,2007,1,0.5,No
Gantz,Shinsuke Sato,2010,11,2.0,No
Gantz: Perfect Answer,Shinsuke Sato,2011,6,1.0,No
Gehenna: Where Death Lives,Hiroshi Katagiri,2016,20,4.0,No
Gerald’s Game,Mike Flanagan,2017,3,0.5,Yes
Get Out,Jordan Peele,2017,10,2.5,No
Ghost Lab,Paween Purijitpanya,2021,24,2.5,Yes
Ghost Ship,Steve Beck,2002,12,3.0,Yes
Ghost Stories,"Jeremy Dyson, Andy Nyman",2017,21,4.0,No
Ghostland,Pascal Laugier,2018,21,4.0,No
Ghosts of War,Eric Bress,2020,10,4.5,Yes
Ghostwatch,Lesley Manning,1992,6,1.0,No
Girl on the Third Floor,Travis Stevens,2019,5,1.0,No
Goal of the Dead,"Thierry Poiraud, Benjamin Rocher",2014,9,1.5,No
Godzilla vs Kong,Adam Wingard,2021,0,0.0,No
Goodnight Mommy,"Severin Fiala, Veronika Franz",2014,1,0.5,No
Goosebumps,Rob Letterman,2015,10,2.5,No
Gothika,Mathieu Kassovitz,2003,16,3.5,Yes
Grabbers,Jon Wright,2012,1,0.5,No
Grave Encounters,"Colin Minihan, Stuart Ortiz",2011,12,4.0,No
Grave Encounters 2,John Poliquin,2012,21,4.0,No
Great White,Martin Wilson,2021,11,2.5,No
Green Room,Jeremy Saulnier,2015,1,0.5,Yes
Gremlins,Joe Dante,1984,17,3.5,No
Gretel & Hansel,Oz Perkins,2020,5,1.5,No
Guns Akimbo,Jason Lei Howden,2020,2,1.0,No
Halloween,David Gordon Green,2018,14,3.5,No
Halloween,John Carpenter,1978,13,2.5,No
Halloween,Rob Zombie,2007,9,3.0,No
Halloween 4: The Return of Michael Myers,Dwight H. Little,1988,6,2.0,No
Halloween 5: The Revenge of Michael Myers,Dominique Othenin-Girard,1989,16,3.5,No
Halloween at Aunt Ethel’s,Joseph Mazzaferro,2019,5,1.0,No
Halloween H20: 20 Years Later,Steve Miner,1998,16,3.5,No
Halloween II,Rob Zombie,2009,16,3.0,No
Halloween II,Rick Rosenthal,1981,8,2.0,No
Halloween Kills,David Gordon Green,2021,22,4.0,No
Hannibal,Ridley Scott,2001,2,0.5,No
Hannibal Rising,Peter Webber,2007,0,0.0,No
Happy Death Day,Christopher Landon,2017,8,2.5,No
Happy Death Day 2U,Christopher Landon,2019,7,2.0,No
Hard Candy,David Slade,2005,1,1.0,No
Haunt,Scott Beck & Bryan Woods,2019,16,4.0,No
Head Count,Elle Callahan,2018,6,2.5,Yes
Head Trauma,Lance Weiler,2006,6,1.0,No
Hell Fest,Gregory Plotkin,2018,28,5.0,No
Hell House LLC,Stephen Cognetti,2015,6,2.5,No
Hell House LLC II: The Abaddon Hotel,Stephen Cognetti,2018,10,2.5,No
Hell House LLC III: Lake of Fire,Stephen Cognetti,2019,5,2.0,No
Hellboy,Guillermo del Toro,2004,6,1.5,No
Hello Mary Lou: Prom Night II,Bruce Pittman,1987,5,1.5,No
Hellraiser,Clive Barker,1987,5,2.0,No
Here Alone,Rod Blackhurst,2016,2,0.5,Yes
Here Comes Hell,Jack McHenry,2019,2,2.0,No
Hereditary,Ari Aster,2018,8,2.0,No
Hidden,"Matt Duffer, Ross Duffer",2015,6,1.5,No
Hide and Seek,John Polson,2005,16,3.5,No
High Tension,Alexandre Aja,2003,8,2.5,No
His House,Remi Weekes,2020,8,2.5,Yes
Holidays,"Anthony Scott Burns,Kevin Kolsch, Nicholas McCarthy, Adam Egypt Mortimer, Ellen Reid, Gary Shore, Kevin Smith, Sarah Adina Smith, Scott Stewart, Dennis Widmyer",2016,5,2.0,Yes
Hollow Man,Paul Verhoeven,2000,9,2.5,No
Honeydew,Devereux Milburn,2020,2,1.0,No
Honeymoon,Leigh Janiak,2014,3,0.5,No
Horns,Alexandre Aja,2013,3,0.5,No
Horse Girl,Jeff Baena,2020,1,0.5,Yes
