Movie Name,Director,Year,Jump Count,Jump Scare Rating,Netflix (US)
The Blob,Irvin S. Yeaworth Jr.,1958,3,0.5,No
The Borderlands (Final Prayer),Elliot Goldner,2013,12,3.0,No
The Boy,Craig Macneill,2015,1,0.5,No
The Boy,William Brent Bell,2016,11,3.0,Yes
The Boy Behind The Door,"David Charbonier, Justin Powell",2020,5,1.5,No
The Burning,Tony Maylam,1981,21,4.0,No
The Butterfly Effect,"Eric Bress, J. Mackye Gruber",2004,4,1.0,No
The Bye Bye Man,Stacy Title,2017,13,3.0,No
The Cabin In The Woods,Drew Goddard,2012,13,3.0,No
The Call,Lee Chung-hyun,2020,2,1.0,Yes
The Call,Brad Anderson,2013,9,2.5,No
The Canal,Ivan Kavanagh,2014,4,2.0,No
The Cell,Tarsem Singh,2000,6,3.5,No
The Changeling,Peter Medak,1980,7,2.0,No
The Cleansing Hour,Damien LeVeck,2019,14,4.0,No
The Closet,Kwang-bin Kim,2020,3,2.0,No
The Clovehitch Killer,Duncan Skiles,2018,0,0.0,No
The Cloverfield Paradox,Julius Onah,2018,8,3.0,Yes
The Collector,Marcus Dunstan,2009,2,1.0,No
The Collingswood Story,Michael Costanza,2002,4,0.5,No
The Conjuring,James Wan,2013,12,4.0,Yes
The Conjuring 2,James Wan,2016,22,5.0,No
The Conjuring: The Devil Made Me Do It,Michael Chaves,2021,12,4.5,No
The Conspiracy,Christopher MacBride,2012,1,0.5,No
The Conversation,Francis Ford Coppola,1974,1,0.5,No
The Craft,Andrew Fleming,1996,4,1.0,No
The Crazies,Breck Eisner,2010,18,4.0,No
The Cropsey Incident,Julian Grant,2017,0,0.0,No
The Crucifixion,Xavier Gens,2017,19,4.5,No
The Cured,David Freyne,2017,16,3.0,No
The Curse of La Llorona,Michael Chaves,2019,20,4.0,No
The Dark and the Wicked,Bryan Bertino,2020,11,2.5,No
The Dead Don’t Die,Jim Jarmusch,2019,0,0.0,No
The Deep House,Alexandre Bustillo,2021,12,3.0,No
The Deeper You Dig,"John Adams, Toby Poser",2020,2,1.0,No
The Den,Zachary Donohue,2013,14,4.0,No
The Dentist,Brian Yuzna,1996,3,0.5,No
The Dentist 2,Brian Yuzna,1998,2,0.5,No
The Descent,Neil Marshall,2005,16,4.0,No
The Descent: Part 2,Jon Harris,2009,20,5.0,No
The Devil Below,Bradley Parker,2021,12,3.0,Yes
The Devil Inside,William Brent Bell,2012,8,2.5,No
The Devil’s Backbone,Guillermo del Toro,2001,4,1.5,No
The Devil’s Candy,Sean Byrne,2015,8,2.0,Yes
The Devil’s Rejects,Rob Zombie,2005,0,0.0,No
The Disappointments Room,D.J. Caruso,2016,9,2.5,Yes
The Echo,Yam Laranas,2004,7,1.5,No
The Echo,Yam Laranas,2008,9,2.5,No
The Empty Man,David Prior,2020,5,1.0,No
The Endless,"Justin Benson, Aaron Moorhead",2017,7,2.5,No
The Evil Dead,Sam Raimi,1981,22,4.0,No
The Exorcism of Emily Rose,Scott Derrickson,2005,9,2.5,No
The Exorcist,William Friedkin,1973,10,1.5,No
The Exorcist III,William Peter Blatty,1990,11,2.5,No
The Eye,"Danny Pang, Oxide Chun Pang",2002,5,2.0,No
The Eyes of My Mother,Nicolas Pesce,2016,0,0.0,Yes
The Faculty,Robert Rodriguez,1998,11,3.0,No
The Field Guide to Evil," Veronika Franz, Peter Strickland, Calvin Lee Reeder, Ashim Ahluwalia, Katrin Gebbe, Can Evrenol, Severin Fiala, Yannis Veslemes, Agnieszka Smoczyńska",2018,5,1.5,No
The Final Destination,David R. Ellis,2009,4,1.0,No
The Final Girls,Todd Strauss-Schulson,2015,8,1.5,No
The First Purge,Gerard McMurray,2018,8,2.5,No
The Fly,David Cronenberg,1986,2,0.5,No
The Fog,John Carpenter,1980,16,3.5,No
The Forest,Jason Zada,2016,13,3.5,No
The Forever Purge,Everardo Gout,2021,12,3.0,No
The Forgotten,Joseph Ruben,2004,7,3.0,No
The Fourth Kind,Olatunde Osunsanmi,2009,3,1.0,No
The Frighteners,Peter Jackson,1996,9,2.0,No
The Funeral Home,Mauro Iván Ojeda,2020,3,2.5,Yes
The Funhouse,Tobe Hooper,1981,18,3.5,No
The Funhouse Massacre,Andy Palmer,2015,8,2.5,No
The Gallows,Travis Cluff & Chris Lofing,2015,21,4.0,No
The Gift,Joel Edgerton,2015,5,1.5,No
The Girl with All the Gifts,Colm McCarthy,2016,3,1.0,No
The Good Neighbor,Kasra Farahani,2016,7,2.0,Yes
The Gracefield Incident,Mathieu Ratthe,2017,10,2.5,No
The Green Inferno,Eli Roth,2013,4,1.0,No
The Grudge,Takashi Shimizu,2004,23,4.0,No
The Grudge,Nicholas Pesce,2020,19,4.0,No
The Grudge 2,Takashi Shimizu,2006,21,4.5,No
The Guest,Adam Wingard,2014,5,1.5,No
The Hallow,Corin Hardy,2015,18,3.5,No
The Happening,M. Night Shyamalan,2008,1,0.5,No
The Happiness of the Katakuris,Takashi Miike,2001,4,0.5,No
The Harvest,John McNaughton,2013,0,0.0,No
The Haunting,Robert Wise,1963,3,1.0,No
The Haunting in Connecticut,Peter Cornwell,2009,26,4.5,No
The Haunting in Connecticut 2: Ghosts of Georgia,Tom Elkins,2013,32,5.0,No
The Heretics,Chad Archibald,2017,4,1.5,Yes
The Hills Have Eyes,Alexandre Aja,2006,9,2.5,No
The Hitcher,Dave Meyers,2007,10,3.0,No
The Hitcher,Robert Harmon,1986,11,2.5,No
The Hole,Nick Hamm,2001,3,0.5,No
The Hole in the Ground,Lee Cronin,2019,9,1.5,No
The House of the Devil,Ti West,2009,4,1.0,No
The House on Pine Street,"Aaron Keeling, Austin Keeling",2015,5,1.0,No
The House on Sorority Row,Mark Rosman,1982,12,1.0,No
The House with a Clock in Its Walls,Eli Roth,2018,8,1.5,No
The Houses October Built,Bobby Roe,2014,9,4.0,No
The Howling,Joe Dante,1981,10,2.5,No
The Human Centipede – First Sequence,Tom Six,2009,4,1.5,No
The Hunt,Craig Zobel,2020,4,1.0,No
The Innkeepers,Ti West,2011,9,2.0,No
The Innocents,Jack Clayton,1961,4,0.5,No
The Invisible Man ,Leigh Whannell,2020,6,3.0,No
The Invitation,Karyn Kusama,2015,5,1.0,Yes
The Jacket,John Maybury,2005,6,1.5,No
The Killing of a Sacred Deer,Yorgos Lanthimos,2017,3,0.5,No
The Last Broadcast,"Stefan Avalos, Lance Weiler",1998,1,0.5,No
The Last Exorcism,Daniel Stamm,2010,7,2.0,No
The Last House on the Left,Dennis Iliadis,2009,4,0.5,No
The Lazarus Effect,David Gelb,2015,18,4.5,No
The Legend of Boggy Creek,Charles B. Pierce,1972,3,0.5,No
The Legend of Hell House,John Hough,1973,8,1.5,No
The Lighthouse,Robert Eggers,2019,4,1.0,No
The Limehouse Golem,Juan Carlos Medina,2016,0,0.0,No
The Little Stranger,Lenny Abrahamson,2018,0,0.0,No
The Little Things,John Lee Hancock,2021,3,0.0,No
The Lodge ,Severin Fiala & Veronika Franz,2019,5,1.5,No
The Lords of Salem,Rob Zombie,2012,3,1.0,No
The Lost Boys,Joel Schumacher,1987,8,3.0,No
The Lost Boys: The Tribe,P.J. Pesce,2008,10,2.0,No
The Love Witch,Anna Biller,2016,0,0.0,No
The Lovebirds,Michael Showalter,2020,2,0.5,Yes
The Loved Ones,Sean Byrne,2009,3,1.0,No
The Manor,Axelle Carolyn,2021,5,2.5,No
The McPherson Tape,Dean Alioto,1989,0,0.0,No
The Medium,Banjong Pisanthanakun,2021,4,2.5,No
The Meg,Jon Turteltaub,2018,18,3.5,No
The Messengers,"Danny Pang, Oxide Chun Pang",2007,27,4.5,No
The Midnight Meat Train,Ryûhei Kitamura,2008,1,0.5,No
The Mist,Frank Darabont,2007,5,1.0,No
The Monster,Bryan Bertino,2016,11,3.0,Yes
The Mortuary Collection,Ryan Spindell,2020,9,3.0,No
The Mothman Prophecies,Mark Pellington,2002,4,1.0,No
The Mummy,Alex Kurtzman,2017,16,3.5,No
The Mummy,Stephen Sommers,1999,15,3.0,Yes
The Neighbor,Marcus Dunstan,2016,3,1.0,No
The Neon Demon,Nicolas Winding Refn,2016,2,0.5,No
The New Daughter,Luiso Berdejo,2009,11,2.5,No
The New Mutants,Josh Boone,2020,6,1.5,No
The Night House,David Bruckner,2021,7,2.0,No
The Nightmare Gallery,Gene Blalock,2019,2,0.5,No
The Ninth Gate,Roman Polanski,1999,0,0.0,No
The Number 23,Joel Schumacher,2007,3,0.5,No
The Nun,Corin Hardy,2018,21,4.5,No
The Omen,Richard Donner,1976,1,0.5,No
The Omen,John Moore,2006,8,2.0,No
The Ones Below,David Farr,2015,0,0.0,Yes
The Open House,"Matt Angel, Suzanne Coote",2018,14,3.0,Yes
The Orphanage,J.A. Bayona,2007,7,1.5,No
The Other Side of the Door,Johannes Roberts,2016,16,3.5,No
The Others,Alejandro Amenábar,2001,4,2.0,No
The Pact,Nicholas McCarthy,2012,12,3.0,No
The People Under the Stairs,Wes Craven,1991,13,3.0,No
The Perfection,Richard Shepard,2019,1,0.5,Yes
The Perfume of the Lady in Black,Francesco Barilli,1974,4,1.0,No
The Phoenix Incident,Keith Arem,2015,10,3.0,No
The Pool,Ping Lumpraploeng,2018,2,1.0,No
The Possession,Ole Bornedal,2012,10,3.0,No
The Possession of Michael King,David Jung,2014,20,4.0,No
The Poughkeepsie Tapes,John Erick Dowdle,2007,4,1.0,No
The Predator,Shane Black,2018,6,1.5,No
The Prowler,Joseph Zito,1981,23,4.5,No
The Purge,James DeMonaco,2013,12,3.0,No
The Purge: Anarchy,James DeMonaco,2014,13,3.0,No
The Purge: Election Year,James DeMonaco,2016,9,2.5,No
The Pyramid,Grégory Levasseur,2014,14,4.0,Yes
The Quiet Ones,John Pogue,2014,23,4.0,No
The Reflecting Skin,Philip Ridley,1990,0,0.0,No
The Rental,Dave Franco,2020,6,3.0,No
The Return of the Living Dead,Dan O’Bannon,1985,1,0.5,No
The Ring,Gore Verbinski,2002,9,2.5,No
The Ring Two,Hideo Nakata,2005,11,3.0,No
The Ring Virus,Kim Dong-bin,1999,3,0.5,No
The Rite,Mikael Håfström,2011,7,2.0,Yes
The Ritual,David Bruckner,2017,15,3.0,Yes
The Room,Christian Volckman,2019,5,1.0,No
The Ruins,Carter Smith,2008,4,1.5,No
The Sacrament,Ti West,2013,2,0.5,No
The Sand ,Isaac Gabaeff,2015,0,0.0,No
The Shallows,Jaume Collet-Serra,2016,9,2.5,No
The Shape of Water,Guillermo del Toro,2017,2,0.5,No
The Shed,Frank Sabatella,2019,16,4.5,No
The Shining,Stanley Kubrick,1980,3,0.5,Yes
The Silence of the Lambs,Jonathan Demme,1991,0,0.0,No
The Sixth Sense,M. Night Shyamalan,1999,8,1.5,Yes
The Skeleton Key,Iain Softley,2005,11,3.0,No
The Snowman,Tomas Alfredson,2017,9,2.0,No
The Special,B. Harrison Smith,2020,1,0.0,No
The Stalker,John Giorgio,2020,0,0.0,No
The Strangers,Bryan Bertino,2008,16,4.5,No
The Strangers: Prey at Night,Johannes Roberts,2018,14,3.5,No
The Suicide Squad,James Gunn,2021,3,1.0,No
The Swerve,Dean Kapsalis,2019,0,0.0,No
The Taking of Deborah Logan,Adam Robitel,2014,19,3.5,No
The Texas Chain Saw Massacre,Tobe Hooper,1974,2,1.0,No
The Texas Chainsaw Massacre,Marcus Nispel,2003,16,3.0,No
The Texas Chainsaw Massacre 2,Tobe Hooper,1986,6,4.0,No
The Texas Chainsaw Massacre: The Beginning,Jonathan Liebesman,2006,17,3.5,Yes
The Thing,John Carpenter,1982,7,2.0,No
The Thing,Matthijs van Heijningen Jr.,2011,7,2.5,No
The Town That Dreaded Sundown,Alfonso Gomez-Rejon,2014,8,3.0,No
The Transfiguration,Michael O’Shea,2016,2,1.0,No
The Tunnel,Carlo Ledesma,2011,6,2.5,No
The Turning,Floria Sigismondi,2020,13,3.5,No
The Unborn,David S. Goyer,2009,14,3.5,Yes
The Unholy,Evan Spiliotopoulos,2021,15,2.5,No
The Uninvited,Charles & Thomas Guard,2009,11,3.0,Yes
The Vast of Night,Andrew Patterson,2020,0,0.0,No
The Veil,Phil Joanou,2016,12,3.0,Yes
The Vigil,Keith Thomas,2019,7,3.0,Yes
The Village,M. Night Shyamalan,2004,4,1.0,No
The Visit,M. Night Shyamalan,2015,8,2.5,No
The Visitor,Giulio Paradisi,1979,7,1.5,No
The Visitors,Joakim Ersgård,1988,12,2.0,No
The Voices,Marjane Satrapi,2014,3,0.5,No
The Void,"Jeremy Gillespie, Steven Kostanski",2016,8,2.0,Yes
The Wailing,Na Hong-jin,2016,4,1.0,Yes
The Ward,John Carpenter,2010,15,4.0,No
The Watcher in the Woods,John Hough,1980,12,1.5,No
The Wicker Man,Robin Hardy,1973,4,0.5,No
The Widow,Ivan Minin,2020,5,2.0,No
The Witch,Robert Eggers,2015,4,1.5,Yes
The Witch In The Window,Andy Mitton,2018,6,3.5,No
The Wolfman,Joe Johnston,2010,18,4.0,No
The Woman in Black,James Watkins,2012,16,4.0,No
The Woman in Black 2: Angel of Death,Tom Harper,2014,14,4.0,No
The Woman in the Window,Joe Wright,2021,6,2.5,Yes
The Wretched,Brett Pierce,2019,8,3.5,Yes
Them,"David Moreau, Xavier Palud",2006,16,4.0,No
Thesis,Alejandro Amenábar,1996,3,0.5,No
They Look Like People,Perry Blackshear,2015,2,0.5,No
Things Heard and Seen,"Shari Springer Berman, Robert Pulcini",2021,7,2.5,Yes
Thir13en (Thirteen) Ghosts,Steve Beck,2001,17,3.0,No
Thor: Love and Thunder,Taika Waititi,2022,2,1.0,No
Till Death,S.K. Dale,2021,6,3.5,No
Timecrimes,Nacho Vigalondo,2007,3,0.5,No
Tokyo Gore Police,Yoshihiro Nishimura,2008,3,1.0,No
Tourist Trap,David Schmoeller,1979,8,2.0,No
Tragedy Girls,Tyler Macintyre,2017,8,2.0,No
Train to Busan,Sang-ho Yeon,2016,4,1.0,Yes
Trash Fire,Richard Bates Jr.,2016,0,0.0,Yes
Tremors,Ron Underwood,1990,16,2.5,No
Triangle,Christopher Smith,2009,5,1.0,No
Trick ‘r Treat,Michael Dougherty,2007,6,2.5,No
Truth or Dare,Jeff Wadlow,2018,7,2.0,No
Tucker and Dale vs. Evil,Eli Craig,2010,9,1.5,No
Tusk,Kevin Smith,2014,0,0.0,Yes
Under the Shadow,Babak Anvari,2016,9,3.5,Yes
Underwater,William Eubank,2020,15,4.0,No
Unfriended,Leo Gabriadze,2014,5,3.0,No
Unfriended: Dark Web,Stephen Susco,2018,6,1.5,No
Unsane,Steven Soderbergh,2018,2,0.5,No
Urban Legend,Jamie Blanks,1998,17,4.0,No
Urban Legends: Bloody Mary,Mary Lambert,2005,8,2.0,No
Urban Legends: Final Cut,John Ottman,2000,9,2.5,No
Us,Jordan Peele,2019,11,2.5,No
Uzumaki,Higuchinsky,2000,15,3.0,No
V/H/S,"Matt Bettinelli-Olpin, David Bruckner, Tyler Gillett, Justin Martinez, Glenn McQuaid, Radio Silence, Joe Swanberg, Chad Villella, Ti West, Adam Wingard",2012,7,3.5,No
V/H/S/2,"Simon Barrett, Jason Eisener, Gareth Evans, Gregg Hale, Eduardo Sánchez, Timo Tjahjanto, Adam Wingard",2013,14,4.0,No
V/H/S/94," Simon Barrett, Chloe Okuno, Ryan Prows, Jennifer Reeder, Timo Tjahjanto",2021,12,2.5,No
V/H/S: Viral,"Justin Benson, Gregg Bishop, Marcel Sarmiento, Aaron Moorhead, Nacho Vigalondo",2014,9,2.5,No
Vacancy,Nimród Antal,2007,12,2.5,No
Vacancy 2: First Cut,Eric Bross,2008,5,1.0,No
Vacancy 3: Terror Trap,Dan Garcia,2010,1,0.5,No
Van Helsing ,Stephen Sommers ,2004,3,0.5,No
Velvet Buzzsaw,Dan Gilroy,2019,10,2.5,Yes
Venom,Ruben Fleischer,2018,10,2.5,Yes
Veronica,Paco Plaza,2017,10,3.0,Yes
VFW,Joe Begos,2019,2,1.0,No
Victor Frankenstein,Paul McGuigan,2015,6,1.5,No
Videodrome, David Cronenberg,1983,1,0.5,No
Village of the Damned,John Carpenter,1995,2,2.0,No
Viral,"Henry Joost, Ariel Schulman",2016,20,4.0,No
Visions,Kevin Greutert,2015,10,3.5,No
Vivarium,Lorcan Finnegan,2020,0,0.0,No
Wait Until Dark,Terence Young,1967,1,0.5,No
Warm Bodies,Jonathan Levine,2013,8,2.0,No
Watch If You Dare,"Jill Gevargizian, Andy Stewart, Christopher G. Moore",2018,0,0.0,No
We Are Still Here,Ted Geoghegan,2015,12,3.0,No
We Are What We Are,Jim Mickle,2013,2,1.0,No
We Need To Do Something,Sean King O’Grady,2021,2,2.0,No
Werewolves Within,Josh Ruben,2021,21,3.5,No
Wes Craven’s New Nightmare,Wes Craven,1994,11,2.5,No
What Lies Beneath,Robert Zemeckis,2000,16,3.0,No
What the Waters Left Behind,"Luciano Onetti, Nicolás Onetti",2017,5,1.0,No
When a Stranger Calls,Fred Walton,1979,5,2.0,No
White Noise,Geoffrey Sax,2005,17,3.5,No
White Noise 2: The Light,Patrick Lussier,2007,24,4.5,No
Who Was Phone?,"David Daan, Steve Daan",2020,8,2.5,No
Wildling,Fritz Böhm,2018,4,1.5,No
Willow Creek,Bobcat Goldthwait,2013,10,2.0,No
Willy’s Wonderland,Kevin Lewis,2021,12,3.0,No
Winchester,"Michael Spierig, Peter Spierig",2018,17,4.0,No
Wind Chill,Gregory Jacobs,2007,13,3.0,No
Wish Upon,John R. Leonetti,2017,11,2.0,No
Wishmaster,Robert Kurtzman,1997,4,2.5,No
Wishmaster 2: Evil Never Dies,Jack Sholder,1999,3,2.0,No
Woe,Matthew Goodhue,2020,3,1.0,No
Wolf Creek,Greg McLean,2005,0,0.0,No
Wolf Creek 2,Greg McLean,2013,3,1.0,No
WolfCop,Lowell Dean,2014,0,0.0,No
World War Z,Marc Forster,2013,7,2.5,No
Would You Rather,David Guy Levy,2012,3,1.0,Yes
Wounds,Babak Anvari,2019,6,1.0,Yes
Wrong Turn,Mike P. Nelson,2021,8,3.5,No
Wrong Turn,Rob Schmidt,2003,13,3.0,No
X  ,Ti West,2022,16,3.5,No
X – He’s Always Watching,AJ Meadows,2013,9,3.0,No
You Might Be the Killer,Brett Simmons,2018,6,1.5,No
You’re Next,Adam Wingard,2011,11,3.0,No
Z (2019),Brandon Christensen,2019,9,4.0,No
Zodiac,David Fincher,2007,3,0.5,No
Zombieland,Ruben Fleischer,2009,9,3.0,No
Zombieland: Double Tap,Ruben Fleischer,2019,2,0.5,No
