id,uid,pid,total_price
1,1000001,P00069042,8370
2,1000001,P00248942,15200
3,1000001,P00087842,1422
4,1000001,P00085442,1057
5,1000002,P00285442,7969
6,1000003,P00193542,15227
7,1000004,P00184942,19215
8,1000004,P00346142,15854
9,1000004,P0097242,15686
10,1000005,P00274942,7871
11,1000005,P00251242,5254
12,1000005,P00014542,3957
13,1000005,P00031342,6073
14,1000005,P00145042,15665
15,1000006,P00231342,5378
16,1000006,P00190242,2079
17,1000006,P0096642,13055
18,1000006,P00058442,8851
19,1000007,P00036842,11788
20,1000008,P00249542,19614
21,1000008,P00220442,8584
22,1000008,P00156442,9872
23,1000008,P00213742,9743
24,1000008,P00214442,5982
25,1000008,P00303442,11927
26,1000009,P00135742,16662
27,1000009,P00039942,5887
28,1000009,P00161442,6973
29,1000009,P00078742,5391
30,1000010,P00085942,16352
31,1000010,P00118742,8886
32,1000010,P00297942,5875
33,1000010,P00266842,8854
34,1000010,P00058342,10946
35,1000010,P00032442,5152
36,1000010,P00105942,7089
37,1000010,P00182642,12909
38,1000010,P00186942,8770
39,1000010,P00155442,15212
40,1000010,P00221342,15705
41,1000010,P00087242,7947
42,1000010,P00111142,18963
43,1000010,P00259342,8718
44,1000010,P0094542,16406
45,1000010,P00148642,12642
46,1000010,P00312142,10007
47,1000010,P00113242,11562
48,1000011,P00192642,6171
49,1000011,P00110842,19327
50,1000011,P00189642,8027
51,1000012,P00304242,15246
52,1000012,P00365242,6865
53,1000013,P00129542,5839
54,1000013,P00140742,15912
55,1000013,P00182342,12107
56,1000014,P00276642,5848
57,1000015,P00334242,19653
58,1000015,P00247542,5958
59,1000015,P00338442,11415
60,1000015,P00275142,5380
61,1000015,P00333042,3594
62,1000015,P00166242,4209
63,1000015,P00161942,5407
64,1000015,P00348242,7803
65,1000015,P00042142,11458
66,1000016,P00244242,11755
67,1000016,P00217742,8702
68,1000017,P00019342,15872
69,1000017,P00100642,8609
70,1000017,P00073842,15172
71,1000018,P00366542,1780
72,1000018,P00190742,10754
73,1000018,P00151842,2802
74,1000018,P00112642,19473
75,1000018,P00118442,19672
76,1000018,P00034442,19313
77,1000018,P00222242,15182
78,1000018,P00118342,15985
79,1000018,P00324742,16454
80,1000018,P00190042,13551
81,1000018,P0094142,697
82,1000018,P00138542,7030
83,1000018,P00158542,5430
84,1000018,P00157542,8011
85,1000018,P00044142,5912
86,1000019,P00112542,7746
87,1000019,P00339542,19525
88,1000019,P00127842,11959
89,1000019,P00125942,19172
90,1000019,P00251342,8773
91,1000019,P00249642,11023
92,1000019,P00124842,4654
93,1000019,P00250642,4664
94,1000019,P00058142,8290
95,1000019,P00117442,7011
96,1000019,P00251642,4211
97,1000019,P00244842,1539
98,1000021,P00220242,3055
99,1000022,P00351142,12099
100,1000022,P00213242,8797
101,1000022,P00195942,10681
102,1000022,P00115642,7801
103,1000022,P0098242,15517
104,1000022,P00262242,12098
105,1000022,P00258742,6976
106,1000022,P00218242,5384
107,1000022,P00021742,6973
108,1000022,P00313042,5168
109,1000022,P00133742,3449
110,1000022,P00077042,7177
111,1000022,P00280542,4570
112,1000022,P00225842,9564
113,1000023,P00278942,15766
114,1000023,P00004742,8481
115,1000023,P00198042,6108
116,1000023,P00177442,15354
117,1000023,P00000642,12015
118,1000023,P00288942,15371
119,1000023,P00270942,19239
120,1000023,P00345842,16137
121,1000023,P00032042,11887
122,1000023,P00313042,5183
123,1000023,P00112342,584
124,1000023,P00031842,7601
125,1000024,P00346642,2230
126,1000024,P00205642,6940
127,1000024,P00248942,15774
128,1000025,P00206442,15361
129,1000025,P00046742,15770
130,1000025,P00120042,18974
131,1000026,P00043242,1848
132,1000026,P00057242,3624
133,1000026,P00022842,5275
134,1000026,P00252042,5356
135,1000026,P00042242,5411
136,1000026,P00059542,9734
137,1000026,P00346642,7814
138,1000026,P00021242,6098
139,1000026,P00023042,5195
140,1000026,P00144242,5220
141,1000026,P00101342,16093
142,1000026,P00289342,3702
143,1000027,P00281742,8696
144,1000027,P00266642,7730
145,1000027,P00323742,9836
146,1000027,P00116342,16500
147,1000027,P00117142,15903
148,1000028,P00084442,758
149,1000028,P00331542,6904
150,1000028,P00118742,8690
151,1000028,P00178942,8624
152,1000028,P00026042,3904
153,1000029,P00233542,19068
154,1000029,P00127242,7963
155,1000029,P00349942,15511
156,1000029,P00303342,11859
157,1000030,P00051442,9735
158,1000030,P00275642,4166
159,1000030,P00278642,6927
160,1000031,P00117442,8596
161,1000031,P00322042,5248
162,1000031,P00216342,10592
163,1000031,P00329342,3482
164,1000032,P00332342,7134
165,1000033,P00285442,7854
166,1000033,P00111742,17391
167,1000033,P00293742,6074
168,1000033,P00032842,6119
169,1000033,P00216142,15333
170,1000033,P00001642,6129
171,1000033,P00351842,5265
172,1000033,P00145442,7888
173,1000033,P00344242,4035
174,1000033,P00327242,5280
175,1000033,P00241142,7909
176,1000033,P00219242,811
177,1000033,P00057342,2846
178,1000033,P00165742,7994
179,1000033,P00154642,3897
180,1000034,P00192942,6996
181,1000034,P00247042,8593
182,1000034,P00150542,6917
183,1000034,P00347142,5329
184,1000034,P00326742,5942
185,1000034,P00085942,15895
186,1000034,P00330442,7165
187,1000034,P00327842,9846
188,1000034,P00218342,8701
189,1000034,P00259042,8757
190,1000035,P00102542,6109
191,1000035,P00285442,6139
192,1000035,P00121142,5897
193,1000035,P00228242,3990
194,1000035,P00129542,6153
195,1000035,P00309542,5319
196,1000035,P00106742,10767
197,1000036,P00102642,2832
198,1000036,P00127442,8066
199,1000036,P00345642,15812
200,1000036,P00357842,6967
201,1000036,P00115342,6922
202,1000036,P00174442,8621
203,1000036,P00282642,7030
204,1000036,P00150542,7172
205,1000036,P00037142,15769
206,1000036,P00192042,6871
207,1000036,P00197542,7171
208,1000036,P00048742,7139
209,1000036,P00110142,16280
210,1000036,P00120842,9894
211,1000036,P00267742,3664
212,1000036,P00086442,7869
213,1000036,P00331842,16866
214,1000036,P00288642,20442
215,1000036,P00318742,11518
216,1000036,P00028442,15285
217,1000036,P00208342,15524
218,1000036,P00193542,19278
219,1000036,P00277442,15445
220,1000037,P00085242,8034
221,1000039,P00279442,12464
222,1000039,P00351142,15319
223,1000041,P00235242,5915
224,1000041,P00251542,6025
225,1000042,P00046742,19433
226,1000042,P00003242,6027
227,1000042,P00221542,7040
228,1000042,P00142142,11965
229,1000042,P00044442,15469
230,1000042,P00147742,11925
231,1000042,P00030942,2826
232,1000042,P00288042,4013
233,1000042,P00313142,5914
234,1000042,P00195442,7176
235,1000043,P00255842,20961
236,1000044,P00112142,19072
237,1000044,P00120342,7179
238,1000044,P00110542,7995
239,1000044,P00279942,4124
240,1000044,P00303742,7772
241,1000044,P00140742,11799
242,1000044,P00190042,13251
243,1000044,P00316742,3524
244,1000044,P00233542,15853
245,1000044,P00115242,1728
246,1000044,P00338442,11693
247,1000044,P00302842,7852
248,1000044,P00124842,1582
249,1000045,P00066442,6950
250,1000045,P00273442,1414
251,1000045,P00210142,4325
252,1000045,P00212542,4028
253,1000045,P00321742,3432
254,1000045,P00020042,3715
255,1000045,P00051942,3540
256,1000045,P00251342,5352
257,1000045,P00303542,1828
258,1000045,P00228142,7159
259,1000046,P00123142,7614
260,1000046,P00079542,1784
261,1000046,P00103142,3978
262,1000046,P00305542,7478
263,1000047,P00031042,8043
264,1000047,P00260042,6912
265,1000048,P00055642,1447
266,1000048,P00312742,4338
267,1000048,P00010742,19352
268,1000048,P00147742,11420
269,1000048,P00303742,5897
270,1000048,P00223242,7048
271,1000048,P00114942,15783
272,1000048,P00277442,11396
273,1000048,P00183242,5180
274,1000048,P00030842,15549
275,1000048,P00220142,11935
276,1000048,P00130442,8091
277,1000048,P00323042,7001
278,1000048,P00344742,1747
279,1000048,P00182442,5252
280,1000048,P00015342,6407
281,1000048,P00113242,15466
282,1000048,P00288042,7781
283,1000048,P00103042,15849
284,1000048,P00187842,11430
285,1000048,P00162442,11404
286,1000048,P00078542,11853
287,1000048,P0094142,1446
288,1000048,P00324442,3101
289,1000048,P00041642,3694
290,1000048,P00050542,3696
291,1000048,P00006442,3580
292,1000049,P00051442,9879
293,1000049,P00350942,10783
294,1000049,P00000142,13353
295,1000049,P00127242,15715
296,1000049,P00034042,11463
297,1000049,P00143142,7763
298,1000050,P00317942,5878
299,1000050,P00335542,5845